Glottocode,Latitude,Longitude,Macrocontinent,isolate
abin1243,-2.92281,138.891,Papunesia,isolate
abun1252,-0.57073,132.416,Papunesia,isolate
adai1235,31.6314,-92.0059,North America,isolate
abis1238,-1.284096,-75.084405,South America,isolate
aika1237,-12.6695,-60.5353,South America,isolate
alse1251,44.408,-123.94,North America,isolate
anda1286,2.74999,-76,South America,isolate
ando1256,-0.53751,-72.0869,South America,isolate
anem1249,-5.54836,148.993,Papunesia,isolate
arut1244,4.0673594,-62.8676118,South America,isolate
suar1238,-4.95072,141.978,Papunesia,isolate
atac1235,0.834931,-79.778137,South America,isolate
atak1252,30.9121,-93.0827,North America,isolate
bang1363,14.8116,-3.77092,Africa,isolate
basq1248,43.2787,-1.31622,Eurasia,isolate
beot1247,48,-57,North America,isolate
bert1248,10.6474,34.7042,Africa,isolate
beto1236,7.223906,-71.420238,South America,isolate
bilu1245,-7.92388,156.663,Papunesia,isolate
boga1247,-5.54487,142.255,Papunesia,isolate
burm1264,-2.47582,138.203,Papunesia,isolate
buru1296,36.2161,74.8236,Eurasia,isolate
cams1241,1.14537,-76.8931,South America,isolate
cand1248,-4.23835,-76.9347,South America,isolate
cani1243,-14.3058,-64.944455,South America,isolate
cayu1262,-13.2482,-65.4822,South America,isolate
cayu1241,46.1136,-117.94,North America,isolate
chim1301,41,-123,North America,isolate
chit1248,30.3386,-90.9123,North America,isolate
chon1248,-44.298692,-73.879395,South America,isolate
coah1252,28.2589,-97.89,North America,isolate
cofa1242,0.276675,-77.0643,South America,isolate
come1251,26.1333,-98.4667,North America,isolate
coto1248,25.9116,-97.3956,North America,isolate
cuit1236,18.1,-100.5,North America,isolate
cull1235,-7.878618,-78.116456,South America,isolate
dama1272,-4.17345,137.496,Papunesia,isolate
demm1245,-3.72183,137.632,Papunesia,isolate
dibi1240,-7.82096,142.779,Papunesia,isolate
duna1248,-5.41439,142.475,Papunesia,isolate
elam1244,31.1833,48.2333,Eurasia,isolate
else1239,-3.00176,140.418,Papunesia,isolate
esse1238,36.5473,-121.867,North America,isolate
etru1241,41.9,12.4833,Eurasia,isolate
fasu1242,-6.62687,143.284,Papunesia,isolate
fuln1247,-9.02591,-37.1402,South America,isolate
gaga1251,-12.5176,132.643,Australia,isolate
guac1239,-19.5572257,-57.5663223,South America,isolate
guai1237,24.16666667,-110.3,North America,isolate
guam1236,8.2351027,-67.4018753,South America,isolate
guat1253,-17.8696,-57.2897,South America,isolate
gule1241,11.8336,33.6929,Africa,isolate
guri1248,-3.5718,141.597,Papunesia,isolate
hadz1240,-3.83115,35.0458,Africa,isolate
hatt1246,33.9833,40.3333,Eurasia,isolate
yuwa1244,5.63879,-65.4267,South America,isolate
hrus1242,27.27,92.63,Eurasia,isolate
iber1250,40.624,0.212401,Eurasia,isolate
iran1263,-12.7178,-57.9806,South America,isolate
iton1250,-12.80431,-64.35748,South America,isolate
cent2045,9.59433,11.5853,Africa,isolate
jira1235,10.57,-69.7,South America,isolate
kaki1249,-7.9946,145.816,Papunesia,isolate
kano1245,-12.1789,-64.5812,South America,isolate
kapo1250,-3.52696,139.766,Papunesia,isolate
kara1497,-7.13333,143.117,Papunesia,isolate
kara1289,28.9082,-96.4856,North America,isolate
kari1254,-7.434628,-40.487275,South America,isolate
karo1304,41.8228,-123.315,North America,isolate
kehu1238,-3.19328,136.14,Papunesia,isolate
kena1236,3.154162,102.01596,Eurasia,isolate
kibi1239,-7.45276,144.296,Papunesia,isolate
kimk1238,-4.2742,140.884,Papunesia,isolate
klam1254,42.5861,-121.704,North America,isolate
kolp1236,-5.21042,151.583,Papunesia,isolate
kuja1239,11.7473,22.1956,Africa,isolate
kuna1268,14.5879,37.5292,Africa,isolate
kung1259,-12.7,130.881,Australia,isolate
kunz1244,-23,-69,South America,isolate
kuot1243,-3.06952,151.537,Papunesia,isolate
kusu1250,28.33,82.6,Eurasia,isolate
kute1249,48.7892,-115.065,North America,isolate
kwaz1243,-11.6667,-61.1833,South America,isolate
laal1242,10.0063,17.6143,Africa,isolate
lafo1243,10.3357,30.7331,Africa,isolate
lara1258,-12.4111,130.922,Australia,isolate
lavu1241,-9.05569,159.119,Papunesia,isolate
leco1242,-15.0092,-67.8818,South America,isolate
lule1238,-25.221839,-61.887818,South America,isolate
maku1246,3.969231,-64.235892,South America,isolate
mara1266,24.339089,-98.576661,North America,isolate
moro1289,-8.5692,140.688,Papunesia,isolate
mass1263,-1.74679,138.294,Papunesia,isolate
mata1275,-4.8509511,-58.988617,South America,isolate
mato1253,-9.172609,-60.628867,South America,isolate
mawe1251,-2.36944,139.752,Papunesia,isolate
maib1239,-1.3679,132.591,Papunesia,isolate
mero1237,16.9333,33.7333,Africa,isolate
mimi1240,13.827507,21.11324,Africa,isolate
mink1237,-17.736653,139.541931,Australia,isolate
moch1259,-8.01667,-79,South America,isolate
mola1238,44.556,-122.857,North America,isolate
molo1262,-3.41946,140.557,Papunesia,isolate
morb1239,-2.85747,132.845,Papunesia,isolate
mose1249,-14.64448,-67.83756,South America,isolate
movi1243,-13.8115,-65.6348,South America,isolate
mpur1239,-0.7489,133.166,Papunesia,isolate
muni1258,-5.7441796,-76.426712,South America,isolate
mure1235,-13.636709,-62.2020909,South America,isolate
nara1262,15.3251,37.499,Africa,isolate
natc1249,31.75,-91.33,North America,isolate
niha1238,21.1886,76.3318,Eurasia,isolate
odia1239,-3.82276,141.336,Papunesia,isolate
omur1241,-4.816667,-75.4,South America,isolate
bira1253,5.29807,37.025,Africa,isolate
otii1244,-24.3153231,-50.5580261,South America,isolate
oyst1235,-42.307378,147.50061,Australia,isolate
paez1247,2.61516,-76.31254,South America,isolate
pank1250,-8.99999,-37.0167,South America,isolate
papi1255,-4.4725,142.011,Papunesia,isolate
pawa1255,-6.88021,145.081,Papunesia,isolate
paya1236,-20.212233,-58.158622,South America,isolate
pele1245,-5.58045,151.05,Papunesia,isolate
pira1253,-6.77713,-61.8167,South America,isolate
puel1244,-42.223,-68.666,South America,isolate
puin1248,3.92974,-67.6886,South America,isolate
pume1238,7.10677,-67.5996,South America,isolate
puqu1242,-15.8992,-69.9611,South America,isolate
pura1257,-7.59133,145.036,Papunesia,isolate
pyuu1245,-4.45003,141.018,Papunesia,isolate
rama1271,-14.3019482,-67.3590894,South America,isolate
sali1253,37.6646,-121.718,North America,isolate
sand1273,-5.26918,35.4808,Africa,isolate
sape1238,4.0735661,-62.9666521,South America,isolate
saus1247,-3.16632,139.627,Papunesia,isolate
savo1255,-9.12853,159.814,Papunesia,isolate
sech1236,-5.568969,-80.828247,South America,isolate
seri1257,28.9877,-112.384,North America,isolate
shab1252,7.64407,35.223,Africa,isolate
shom1245,7.02099,93.8064,Eurasia,isolate
siam1242,10.998,-4.92143,Africa,isolate
sius1254,42.5111,-124.379,North America,isolate
sulk1246,-5.03471,151.891,Papunesia,isolate
tabo1241,-8.09387,143.305,Papunesia,isolate
taia1239,-4.05047,144.506,Papunesia,isolate
take1257,42.423,-123.452,North America,isolate
tall1235,-5.330824,-80.651093,South America,isolate
tamb1257,-8.25,118,Papunesia,isolate
tana1288,-2.5523,133.18,Papunesia,isolate
taru1236,-0.90963,-59.904786,South America,isolate
taus1253,-3.22497,-75.5603,South America,isolate
timo1237,8.848165,-70.975342,South America,isolate
timu1245,30.3027,-82.3132,North America,isolate
tini1245,2.716,-73.768,South America,isolate
tiwi1244,-11.6308,130.949,Australia,isolate
tonk1249,30.25,-96.75,North America,isolate
touo1238,-8.58405,157.296,Papunesia,isolate
trum1247,-11.8119,-53.5717,South America,isolate
tuni1252,30.9888,-92.5403,North America,isolate
tuxa1239,-8.953642,-38.2742287,South America,isolate
umbu1235,-12.9325,131.825,Australia,isolate
urar1246,-4.44006,-75.4211,South America,isolate
usku1243,-3.63853,140.502,Papunesia,isolate
vile1241,-27.4063,-58.9661,South America,isolate
wadj1254,-12.8596,130.737,Australia,isolate
wage1238,-13.8627,131.893,Australia,isolate
waor1240,-1.12312,-76.683,South America,isolate
wara1303,7.50851,-59.3528,South America,isolate
wash1253,38.8184,-119.64,North America,isolate
wiru1244,-6.35863,144.214,Papunesia,isolate
xuku1239,-8.6606156,-37.0869089,South America,isolate
yale1246,-3.79762,141.566,Papunesia,isolate
yama1264,-55.2748,-68.2648,South America,isolate
yana1271,39.2769,-121.608,North America,isolate
yele1255,-11.3796,154.127,Papunesia,isolate
yera1243,-4.28828,142.947,Papunesia,isolate
yetf1238,-4.05884,140.653,Papunesia,isolate
yuch1247,35.75,-86.75,North America,isolate
yura1255,-16.7479,-65.1224,South America,isolate
yuru1243,3.436864,-76.522636,South America,isolate
zuni1245,35.0056,-108.782,North America,isolate